CustomerID,Name,Email,SignupDate,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Cell,RFM_Score,Cluster,Customer_Segment
C0069,Robert Patel,robert.patel41@example.com,2025-07-09,India,16,3,220.96,5,2,3,523,10,1,Loyalists
C0070,Richard White,richard.white48@example.com,2025-11-10,Singapore,14,13,3942.9,5,5,5,555,15,3,Champions
C0071,Vijay Sharma,vijay.sharma95@example.com,2025-10-11,India,211,4,281.7,1,3,3,133,7,0,At Risk Customers
C0072,Isha Nair,isha.nair43@example.com,2025-03-01,Canada,177,1,21.24,1,1,1,111,3,2,Lost Customers
C0073,Suresh Reddy,suresh.reddy44@example.com,2025-05-25,United States,62,3,135.6,3,2,2,322,7,0,At Risk Customers
C0074,Jessica Brown,jessica.brown97@example.com,2025-11-21,France,11,19,5969.32,5,5,5,555,15,3,Champions
C0075,Sunita Anderson,sunita.anderson42@example.com,2025-01-27,India,540,1,16.97,1,1,1,111,3,2,Lost Customers
C0076,Sandra Davis,sandra.davis15@example.com,2025-01-02,India,118,5,353.02,2,4,4,244,10,0,At Risk Customers
C0077,Meera Miller,meera.miller30@example.com,2026-01-15,United States,107,2,213.3,2,2,2,222,6,0,At Risk Customers
C0078,Sandra Harris,sandra.harris11@example.com,2025-02-27,India,358,2,144.82,1,2,2,122,5,2,Lost Customers
C0079,Neha White,neha.white14@example.com,2025-07-09,United States,158,1,63.48,2,1,1,211,4,2,Lost Customers
C0080,Neha Banerjee,neha.banerjee26@example.com,2025-01-22,India,88,5,399.23,3,4,4,344,11,0,At Risk Customers
C0081,Amit Roy,amit.roy36@example.com,2025-12-16,India,82,4,242.97,3,3,3,333,9,0,At Risk Customers
C0082,Isha Roy,isha.roy81@example.com,2025-07-28,Singapore,113,1,32.83,2,1,1,211,4,2,Lost Customers
C0083,Neha Garcia,neha.garcia30@example.com,2026-02-14,Germany,9,5,346.65000000000003,5,4,4,544,13,1,Loyalists
C0084,Thomas Verma,thomas.verma32@example.com,2026-01-13,Canada,3,4,335.96,5,3,4,534,12,1,Loyalists
C0085,Thomas Garcia,thomas.garcia44@example.com,2025-03-23,Germany,29,2,141.9,4,2,2,422,8,1,Loyalists
C0086,Isha Das,isha.das14@example.com,2025-08-29,India,98,1,66.29,2,1,1,211,4,2,Lost Customers
C0087,Ashley Roy,ashley.roy49@example.com,2026-02-12,France,138,1,39.0,2,1,1,211,4,2,Lost Customers
C0088,Vikram Verma,vikram.verma94@example.com,2025-04-09,India,155,1,63.44,2,1,1,211,4,2,Lost Customers
C0089,Michael Patel,michael.patel45@example.com,2025-06-29,United States,91,3,256.65,2,2,3,223,7,0,At Risk Customers
C0090,Lisa White,lisa.white52@example.com,2025-01-15,India,109,4,307.17,2,3,3,233,8,0,At Risk Customers
C0091,Emily Johnson,emily.johnson84@example.com,2025-05-16,India,175,5,873.52,1,4,4,144,9,0,At Risk Customers
C0092,Sanjay Banerjee,sanjay.banerjee54@example.com,2026-01-09,Germany,59,3,317.93,3,2,3,323,8,0,At Risk Customers
C0093,Sandra Young,sandra.young75@example.com,2025-03-01,India,131,1,76.02,2,1,1,211,4,2,Lost Customers
C0094,Gita Williams,gita.williams42@example.com,2025-01-23,United Kingdom,62,17,5785.58,3,5,5,355,13,3,Champions
C0095,Aarav Jackson,aarav.jackson78@example.com,2025-12-18,United Kingdom,21,5,434.08,4,4,4,444,12,1,Loyalists
C0096,Siddharth Bose,siddharth.bose65@example.com,2025-02-05,Australia,107,3,217.70999999999998,2,2,3,223,7,0,At Risk Customers
C0097,Jessica King,jessica.king50@example.com,2025-12-06,France,25,10,1407.09,4,5,5,455,14,3,Champions
C0098,David Thomas,david.thomas49@example.com,2025-12-08,United States,15,19,5604.02,5,5,5,555,15,3,Champions
C0099,Lisa Rodriguez,lisa.rodriguez80@example.com,2025-03-07,India,28,4,312.25,4,3,3,433,10,1,Loyalists
C0100,William Johnson,william.johnson88@example.com,2025-10-19,India,6,10,3193.54,5,5,5,555,15,3,Champions
C0101,Suresh Sharma,suresh.sharma48@example.com,2025-05-27,India,313,3,193.15,1,2,2,122,5,0,At Risk Customers
C0102,Deepak Young,deepak.young93@example.com,2025-06-14,United States,237,3,229.97,1,2,3,123,6,0,At Risk Customers
C0103,Richard Brown,richard.brown75@example.com,2025-08-31,Germany,46,5,243.76999999999998,3,4,3,343,10,0,At Risk Customers
C0104,Pranav Singh,pranav.singh46@example.com,2025-09-21,United Kingdom,64,7,1091.93,3,5,5,355,13,3,Champions
C0105,Kiran Sen,kiran.sen21@example.com,2026-01-20,India,137,1,49.8,2,1,1,211,4,2,Lost Customers
C0106,David Jones,david.jones35@example.com,2025-03-17,India,262,2,126.61999999999999,1,2,2,122,5,2,Lost Customers
C0107,James Taylor,james.taylor88@example.com,2026-01-29,India,23,8,1018.0,4,5,5,455,14,3,Champions
C0108,Thomas Martin,thomas.martin34@example.com,2026-01-03,United Kingdom,21,5,320.37,4,4,4,444,12,1,Loyalists
C0109,Priya Choudhury,priya.choudhury41@example.com,2025-03-17,United Kingdom,61,5,270.78999999999996,3,4,3,343,10,0,At Risk Customers
C0110,Aarav Joshi,aarav.joshi64@example.com,2025-04-23,India,48,10,1492.8799999999999,3,5,5,355,13,3,Champions
C0111,Vijay Mishra,vijay.mishra16@example.com,2025-10-13,India,112,4,365.44,2,3,4,234,9,0,At Risk Customers
C0112,Kabir Mishra,kabir.mishra27@example.com,2026-02-15,United States,109,5,266.79,2,4,3,243,9,0,At Risk Customers
C0113,Vijay Harris,vijay.harris86@example.com,2025-06-12,Australia,33,4,282.6,4,3,3,433,10,1,Loyalists
C0114,Richard King,richard.king74@example.com,2025-08-07,France,91,1,12.94,2,1,1,211,4,2,Lost Customers
C0115,Suresh Chatterjee,suresh.chatterjee30@example.com,2026-01-16,France,35,2,175.25,4,2,2,422,8,1,Loyalists
C0116,Richard Miller,richard.miller41@example.com,2025-11-23,India,6,10,1432.19,5,5,5,555,15,3,Champions
C0117,Vijay Anderson,vijay.anderson90@example.com,2025-05-03,India,21,5,422.58,4,4,4,444,12,1,Loyalists
C0118,Arjun Rodriguez,arjun.rodriguez40@example.com,2025-05-20,India,57,4,335.51,3,3,4,334,10,0,At Risk Customers
C0119,Anil Singh,anil.singh27@example.com,2025-03-19,India,200,4,585.9,1,3,4,134,8,0,At Risk Customers
C0120,Neha Brown,neha.brown18@example.com,2025-08-01,United States,10,2,81.44,5,2,1,521,8,1,Loyalists
C0121,Anil Mishra,anil.mishra63@example.com,2025-02-01,India,106,2,150.34,2,2,2,222,6,2,Lost Customers
C0122,Thomas Das,thomas.das84@example.com,2025-12-23,India,70,1,64.94,3,1,1,311,5,2,Lost Customers
C0123,Gita Das,gita.das71@example.com,2025-01-04,Australia,61,5,377.49,3,4,4,344,11,0,At Risk Customers
C0124,David Das,david.das63@example.com,2025-10-03,United Kingdom,71,5,426.32,3,4,4,344,11,0,At Risk Customers
C0125,Anil Young,anil.young38@example.com,2025-09-07,India,99,4,237.29000000000002,2,3,3,233,8,0,At Risk Customers
C0126,Sandra Anderson,sandra.anderson13@example.com,2025-07-19,India,78,8,1151.19,3,5,5,355,13,3,Champions
C0127,Lisa Smith,lisa.smith69@example.com,2025-03-07,Singapore,184,1,47.87,1,1,1,111,3,2,Lost Customers
C0128,Anil Verma,anil.verma60@example.com,2025-10-31,United States,20,9,1559.81,4,5,5,455,14,3,Champions
C0129,Aditya Singh,aditya.singh92@example.com,2025-08-08,India,165,5,524.27,2,4,4,244,10,0,At Risk Customers
C0130,Ashley Johnson,ashley.johnson16@example.com,2025-05-14,India,6,2,111.41,5,2,2,522,9,1,Loyalists
C0131,Tanvi Mishra,tanvi.mishra51@example.com,2025-06-22,Germany,398,1,24.18,1,1,1,111,3,2,Lost Customers
C0132,William Davis,william.davis63@example.com,2025-05-10,France,14,7,867.97,5,5,4,554,14,3,Champions
C0133,Rajesh Verma,rajesh.verma79@example.com,2025-01-27,Singapore,20,3,305.41,4,2,3,423,9,1,Loyalists
C0134,Robert Jones,robert.jones93@example.com,2025-02-05,Germany,305,3,208.49,1,2,2,122,5,0,At Risk Customers
C0135,Amit Verma,amit.verma41@example.com,2025-04-13,France,116,1,47.39,2,1,1,211,4,2,Lost Customers
C0136,Kiran Reddy,kiran.reddy40@example.com,2025-03-06,United States,182,5,343.36,1,4,4,144,9,0,At Risk Customers
C0137,Kabir Martin,kabir.martin37@example.com,2025-08-27,United Kingdom,47,2,143.23000000000002,3,2,2,322,7,0,At Risk Customers
C0138,Karen Smith,karen.smith87@example.com,2025-11-07,Australia,14,16,4364.88,5,5,5,555,15,3,Champions
C0139,Kabir Smith,kabir.smith49@example.com,2025-02-25,United States,34,5,336.18,4,4,4,444,12,1,Loyalists
C0140,David Martin,david.martin96@example.com,2025-07-12,India,183,4,260.03,1,3,3,133,7,0,At Risk Customers
C0141,Siddharth Patel,siddharth.patel85@example.com,2025-12-20,France,48,1,16.7,3,1,1,311,5,2,Lost Customers
C0142,James Joshi,james.joshi99@example.com,2026-01-31,India,186,1,74.17,1,1,1,111,3,2,Lost Customers
C0143,Sanjay Rao,sanjay.rao82@example.com,2026-02-05,India,40,2,108.82000000000001,4,2,2,422,8,1,Loyalists
C0144,Anil Banerjee,anil.banerjee94@example.com,2025-07-09,India,91,2,120.42,2,2,2,222,6,2,Lost Customers
C0145,Jessica Sharma,jessica.sharma63@example.com,2025-09-08,India,1,20,7165.87,5,5,5,555,15,3,Champions
C0146,Karen Mishra,karen.mishra29@example.com,2025-08-11,India,149,7,836.91,2,5,4,254,11,0,At Risk Customers
C0147,Vijay Davis,vijay.davis88@example.com,2026-02-18,Canada,10,2,84.22999999999999,5,2,1,521,8,1,Loyalists
C0148,Rajesh Mishra,rajesh.mishra65@example.com,2026-01-10,United States,45,4,302.23,3,3,3,333,9,0,At Risk Customers
C0149,John Garcia,john.garcia21@example.com,2025-05-23,Canada,180,3,228.68,1,2,3,123,6,0,At Risk Customers
C0150,James Mishra,james.mishra82@example.com,2025-11-09,United Kingdom,177,1,60.91,1,1,1,111,3,2,Lost Customers
C0151,Jessica Verma,jessica.verma73@example.com,2025-06-16,India,165,2,137.29000000000002,2,2,2,222,6,2,Lost Customers
C0152,Tanvi Roy,tanvi.roy43@example.com,2025-06-24,India,56,5,378.07,3,4,4,344,11,0,At Risk Customers
C0153,Sanjay Davis,sanjay.davis81@example.com,2025-01-06,United States,215,4,660.36,1,3,4,134,8,0,At Risk Customers
C0154,Siddharth Singh,siddharth.singh40@example.com,2026-01-04,United States,183,1,40.92,1,1,1,111,3,2,Lost Customers
C0155,Suresh Garcia,suresh.garcia98@example.com,2025-09-01,United States,44,13,4241.53,3,5,5,355,13,3,Champions
C0156,Priya Chatterjee,priya.chatterjee12@example.com,2025-02-17,India,136,3,264.6,2,2,3,223,7,0,At Risk Customers
C0157,Lisa Garcia,lisa.garcia49@example.com,2025-12-06,United States,57,8,1231.13,3,5,5,355,13,3,Champions
C0158,Rajesh Harris,rajesh.harris77@example.com,2025-06-26,United States,210,3,216.92,1,2,3,123,6,0,At Risk Customers
C0159,Suresh Sen,suresh.sen55@example.com,2025-12-26,United States,4,14,4950.99,5,5,5,555,15,3,Champions
C0160,David Miller,david.miller39@example.com,2025-03-03,United Kingdom,467,1,58.86,1,1,1,111,3,2,Lost Customers
C0161,John Rao,john.rao78@example.com,2026-01-26,United Kingdom,11,1,48.7,5,1,1,511,7,1,Loyalists
C0162,Siddharth Brown,siddharth.brown71@example.com,2025-05-22,United Kingdom,197,2,141.93,1,2,2,122,5,2,Lost Customers
C0163,Vijay Young,vijay.young46@example.com,2025-02-21,France,70,4,637.87,3,3,4,334,10,0,At Risk Customers
C0164,Sarah Jones,sarah.jones56@example.com,2025-04-02,India,140,3,249.20999999999998,2,2,3,223,7,0,At Risk Customers
C0165,Anil Nair,anil.nair45@example.com,2025-01-24,Singapore,258,5,369.15,1,4,4,144,9,0,At Risk Customers
C0166,Suresh Rodriguez,suresh.rodriguez99@example.com,2025-03-06,United States,326,5,330.19,1,4,4,144,9,0,At Risk Customers
C0167,Priya Joshi,priya.joshi11@example.com,2025-10-21,India,26,2,111.78,4,2,2,422,8,1,Loyalists
C0168,Rajesh Chatterjee,rajesh.chatterjee53@example.com,2025-04-05,Australia,168,3,133.88,2,2,2,222,6,0,At Risk Customers
C0169,Emily Taylor,emily.taylor24@example.com,2025-02-03,United States,52,4,278.02,3,3,3,333,9,0,At Risk Customers
C0170,Arjun Martin,arjun.martin90@example.com,2025-12-18,India,28,4,335.28999999999996,4,3,4,434,11,1,Loyalists
C0171,Neha Martin,neha.martin48@example.com,2025-02-13,Singapore,237,1,26.55,1,1,1,111,3,2,Lost Customers
C0172,Kabir Harris,kabir.harris63@example.com,2025-11-07,United States,91,17,4664.5,2,5,5,255,12,3,Champions
C0173,Kiran Jones,kiran.jones76@example.com,2025-07-14,United States,92,7,975.4200000000001,2,5,5,255,12,0,At Risk Customers
C0174,Richard Martinez,richard.martinez85@example.com,2025-08-08,India,76,4,204.46,3,3,2,332,8,0,At Risk Customers
C0175,Kiran Mehta,kiran.mehta88@example.com,2026-01-14,India,45,5,329.76,3,4,4,344,11,0,At Risk Customers
C0176,Tanvi Brown,tanvi.brown43@example.com,2025-12-05,India,62,5,301.25,3,4,3,343,10,0,At Risk Customers
C0177,James Johnson,james.johnson80@example.com,2025-02-08,India,13,8,1261.58,5,5,5,555,15,3,Champions
C0178,Thomas Chatterjee,thomas.chatterjee98@example.com,2025-11-01,United States,25,11,3738.9100000000003,4,5,5,455,14,3,Champions
C0179,Amit Jones,amit.jones46@example.com,2025-12-28,India,13,2,197.14,5,2,2,522,9,1,Loyalists
C0180,Ashley Patel,ashley.patel97@example.com,2025-04-30,Canada,33,1,47.14,4,1,1,411,6,2,Lost Customers
C0181,Deepak Williams,deepak.williams64@example.com,2025-02-28,United States,11,5,383.37,5,4,4,544,13,1,Loyalists
C0182,Neha Davis,neha.davis28@example.com,2025-02-06,India,44,4,333.11,3,3,4,334,10,0,At Risk Customers
C0183,David Young,david.young82@example.com,2025-05-28,United States,57,3,112.12,3,2,2,322,7,0,At Risk Customers
C0184,Ashley Martinez,ashley.martinez99@example.com,2025-07-26,Australia,50,2,62.62,3,2,1,321,6,2,Lost Customers
C0185,Sunita White,sunita.white73@example.com,2025-08-13,India,43,2,170.94,3,2,2,322,7,1,Loyalists
C0186,Amit Banerjee,amit.banerjee51@example.com,2025-11-06,India,155,1,18.1,2,1,1,211,4,2,Lost Customers
C0187,Diya Jones,diya.jones96@example.com,2025-10-22,United States,86,6,984.42,3,4,5,345,12,0,At Risk Customers
C0188,Aditya Davis,aditya.davis83@example.com,2025-01-21,Germany,352,1,44.99,1,1,1,111,3,2,Lost Customers
C0189,Rohan Taylor,rohan.taylor76@example.com,2025-11-30,United States,19,4,273.94,5,3,3,533,11,1,Loyalists
C0190,Michael Johnson,michael.johnson84@example.com,2025-08-12,United States,36,3,306.96000000000004,4,2,3,423,9,1,Loyalists
C0191,Priya Singh,priya.singh70@example.com,2025-06-28,United States,13,16,5014.47,5,5,5,555,15,3,Champions
C0192,John Joshi,john.joshi30@example.com,2025-06-18,United States,21,10,1583.89,4,5,5,455,14,3,Champions
C0193,Priya Rodriguez,priya.rodriguez94@example.com,2025-07-25,Germany,6,2,184.82,5,2,2,522,9,1,Loyalists
C0194,Suresh Gupta,suresh.gupta68@example.com,2025-02-15,India,179,4,197.78,1,3,2,132,6,0,At Risk Customers
C0195,John Rao,john.rao61@example.com,2025-09-21,Germany,183,2,135.98000000000002,1,2,2,122,5,2,Lost Customers
C0196,Aarav White,aarav.white69@example.com,2025-07-31,India,30,5,284.57,4,4,3,443,11,1,Loyalists
C0197,Vijay Bose,vijay.bose89@example.com,2026-01-23,United States,55,8,1361.95,3,5,5,355,13,3,Champions
C0198,Richard Mehta,richard.mehta36@example.com,2025-05-17,United States,52,2,153.5,3,2,2,322,7,0,At Risk Customers
C0199,Sarah Chatterjee,sarah.chatterjee99@example.com,2025-09-06,India,37,5,778.96,4,4,4,444,12,0,At Risk Customers
C0200,Sanjay Garcia,sanjay.garcia30@example.com,2025-06-09,United States,110,5,472.22,2,4,4,244,10,0,At Risk Customers
C0201,Suresh Mukherjee,suresh.mukherjee21@example.com,2025-04-26,Singapore,42,4,272.14,4,3,3,433,10,0,At Risk Customers
C0202,Kabir Mishra,kabir.mishra25@example.com,2025-11-28,France,119,5,883.67,2,4,4,244,10,0,At Risk Customers
C0203,Priya Rodriguez,priya.rodriguez75@example.com,2025-12-28,India,173,4,296.65000000000003,1,3,3,133,7,0,At Risk Customers
C0204,Rajesh Taylor,rajesh.taylor41@example.com,2025-08-22,United States,190,2,160.41,1,2,2,122,5,2,Lost Customers
C0205,William Williams,william.williams86@example.com,2025-09-18,United Kingdom,20,3,311.55,4,2,3,423,9,1,Loyalists
C0206,Meera Patel,meera.patel45@example.com,2026-01-31,Germany,66,8,1127.57,3,5,5,355,13,3,Champions
C0207,Thomas Sen,thomas.sen74@example.com,2025-05-17,Germany,78,4,249.32,3,3,3,333,9,0,At Risk Customers
C0208,Sarah Martinez,sarah.martinez85@example.com,2025-10-24,Singapore,101,4,183.29,2,3,2,232,7,0,At Risk Customers
C0209,Priya Reddy,priya.reddy67@example.com,2025-10-03,United States,16,3,250.16,5,2,3,523,10,1,Loyalists
C0210,Jessica Harris,jessica.harris79@example.com,2025-07-13,United States,30,1,45.79,4,1,1,411,6,2,Lost Customers
C0211,John Williams,john.williams99@example.com,2025-05-03,United States,32,1,28.45,4,1,1,411,6,2,Lost Customers
C0212,Vikram Mukherjee,vikram.mukherjee15@example.com,2025-06-12,United Kingdom,132,5,354.15,2,4,4,244,10,0,At Risk Customers
C0213,William Das,william.das94@example.com,2026-02-10,Germany,61,10,1250.05,3,5,5,355,13,3,Champions
C0214,Neha Anderson,neha.anderson14@example.com,2025-03-06,United States,76,4,330.39,3,3,4,334,10,0,At Risk Customers
C0215,Deepak Sen,deepak.sen22@example.com,2025-08-14,India,7,4,227.01999999999998,5,3,3,533,11,1,Loyalists
C0216,Ashley Sharma,ashley.sharma28@example.com,2025-07-29,France,98,4,557.58,2,3,4,234,9,0,At Risk Customers
C0217,Neha Patel,neha.patel70@example.com,2026-02-05,Australia,15,5,367.72,5,4,4,544,13,1,Loyalists
C0218,Jessica King,jessica.king98@example.com,2025-07-23,United States,279,1,13.19,1,1,1,111,3,2,Lost Customers
C0219,Jessica White,jessica.white58@example.com,2025-06-12,United States,292,3,270.41999999999996,1,2,3,123,6,0,At Risk Customers
C0220,Priya White,priya.white14@example.com,2025-11-13,India,114,4,264.8,2,3,3,233,8,0,At Risk Customers
C0221,Sarah Jones,sarah.jones21@example.com,2025-08-11,Singapore,22,2,143.93,4,2,2,422,8,1,Loyalists
C0222,Isha Chatterjee,isha.chatterjee31@example.com,2025-12-22,India,32,3,240.18,4,2,3,423,9,1,Loyalists
C0223,Aditya Gupta,aditya.gupta51@example.com,2026-02-12,India,86,7,1043.16,3,5,5,355,13,0,At Risk Customers
C0224,Robert Bose,robert.bose65@example.com,2025-03-16,India,176,4,779.87,1,3,4,134,8,0,At Risk Customers
